Loading pytorch-gpu/py3/2.3.1
  Loading requirement: cuda/12.4.1 nccl/2.21.5-1-cuda cudnn/9.2.0.82-cuda
    gcc/11.5.0 openmpi/4.1.5-cuda intel-oneapi-mkl/2024.1 magma/2.8.0-cuda
    sox/14.4.2 hdf5/1.12.0-mpi-cuda libjpeg-turbo/2.1.3 ffmpeg/6.1.1
/lustre/fshomisc/sup/pub/anaconda-py3/h100/2024.06/envs/pytorch-gpu-2.3.1+py3.11.9/lib/python3.11/site-packages/torchvision-0.18.1a0+126fc22-py3.11-linux-x86_64.egg/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: ''If you don't plan on using image functionality from `torchvision.io`, you can ignore this warning. Otherwise, there might be something wrong with your environment. Did you have `libjpeg` or `libpng` installed before building `torchvision` from source?
  warn(
/lustre/fshomisc/sup/pub/anaconda-py3/h100/2024.06/envs/pytorch-gpu-2.3.1+py3.11.9/lib/python3.11/site-packages/torchvision-0.18.1a0+126fc22-py3.11-linux-x86_64.egg/torchvision/io/image.py:13: UserWarning: Failed to load image Python extension: ''If you don't plan on using image functionality from `torchvision.io`, you can ignore this warning. Otherwise, there might be something wrong with your environment. Did you have `libjpeg` or `libpng` installed before building `torchvision` from source?
  warn(
⚙️ Using FACTOR: 1.0
⚙️ World size: 2
✅ Data, Model, and Optimizer initialized.
💾 Checkpoint will be saved as: flow_models/model_20260519_221627.ckpt
✅ Data loaded: 70000 samples, 136 batches per process.
🔥 Starting Training for 5 epochs...
Epoch 2/5 | step 269 | batch 133/136 | loss -1.2622
Epoch 2/5 | step 270 | batch 134/136 | loss -1.2689
Epoch 2/5 | step 271 | batch 135/136 | loss -1.2471
Epoch 2/5 | step 272 | batch 136/136 | loss -1.2442
Epoch 2 done | avg loss: -1.1793 | prior_var_mean: 0.9919
Epoch 3/5 | step 273 | batch 1/136 | loss -1.2774
Epoch 3/5 | step 274 | batch 2/136 | loss -1.2319
Epoch 3/5 | step 275 | batch 3/136 | loss -1.2600
Epoch 3/5 | step 276 | batch 4/136 | loss -1.2617
Epoch 3/5 | step 277 | batch 5/136 | loss -1.2455
Epoch 3/5 | step 278 | batch 6/136 | loss -1.2657
Epoch 3/5 | step 279 | batch 7/136 | loss -1.2610
Epoch 3/5 | step 280 | batch 8/136 | loss -1.2548
Epoch 3/5 | step 281 | batch 9/136 | loss -1.2767
Epoch 3/5 | step 282 | batch 10/136 | loss -1.2612
Epoch 3/5 | step 283 | batch 11/136 | loss -1.2303
Epoch 3/5 | step 284 | batch 12/136 | loss -1.2527
Epoch 3/5 | step 285 | batch 13/136 | loss -1.2744
Epoch 3/5 | step 286 | batch 14/136 | loss -1.2674
Epoch 3/5 | step 287 | batch 15/136 | loss -1.2812
Epoch 3/5 | step 288 | batch 16/136 | loss -1.2640
Epoch 3/5 | step 289 | batch 17/136 | loss -1.2320
Epoch 3/5 | step 290 | batch 18/136 | loss -1.2558
Epoch 3/5 | step 291 | batch 19/136 | loss -1.2579
Epoch 3/5 | step 292 | batch 20/136 | loss -1.2673
Epoch 3/5 | step 293 | batch 21/136 | loss -1.2648
Epoch 3/5 | step 294 | batch 22/136 | loss -1.2319
Epoch 3/5 | step 295 | batch 23/136 | loss -1.2125
Epoch 3/5 | step 296 | batch 24/136 | loss -1.2625
Epoch 3/5 | step 297 | batch 25/136 | loss -1.2422
Epoch 3/5 | step 298 | batch 26/136 | loss -1.1427
Epoch 3/5 | step 299 | batch 27/136 | loss -1.1854
Epoch 3/5 | step 300 | batch 28/136 | loss -1.1017
Epoch 3/5 | step 301 | batch 29/136 | loss -1.1762
Epoch 3/5 | step 302 | batch 30/136 | loss -1.2187
Epoch 3/5 | step 303 | batch 31/136 | loss -1.1798
Epoch 3/5 | step 304 | batch 32/136 | loss -1.1808
Epoch 3/5 | step 305 | batch 33/136 | loss -1.2476
Epoch 3/5 | step 306 | batch 34/136 | loss -1.1995
Epoch 3/5 | step 307 | batch 35/136 | loss -1.1743
Epoch 3/5 | step 308 | batch 36/136 | loss -1.2444
Epoch 3/5 | step 309 | batch 37/136 | loss -1.2291
Epoch 3/5 | step 310 | batch 38/136 | loss -1.2319
Epoch 3/5 | step 311 | batch 39/136 | loss -1.2371
Epoch 3/5 | step 312 | batch 40/136 | loss -1.2505
Epoch 3/5 | step 313 | batch 41/136 | loss -1.2459
Epoch 3/5 | step 314 | batch 42/136 | loss -1.2111
Epoch 3/5 | step 315 | batch 43/136 | loss -1.2345
Epoch 3/5 | step 316 | batch 44/136 | loss -1.2644
Epoch 3/5 | step 317 | batch 45/136 | loss -1.2346
Epoch 3/5 | step 318 | batch 46/136 | loss -1.2672
Epoch 3/5 | step 319 | batch 47/136 | loss -1.2794
Epoch 3/5 | step 320 | batch 48/136 | loss -1.2645
Epoch 3/5 | step 321 | batch 49/136 | loss -1.2541
Epoch 3/5 | step 322 | batch 50/136 | loss -1.2891
Epoch 3/5 | step 323 | batch 51/136 | loss -1.2665
Epoch 3/5 | step 324 | batch 52/136 | loss -1.2491
Epoch 3/5 | step 325 | batch 53/136 | loss -1.2644
Epoch 3/5 | step 326 | batch 54/136 | loss -1.2741
Epoch 3/5 | step 327 | batch 55/136 | loss -1.2469
Epoch 3/5 | step 328 | batch 56/136 | loss -1.2575
Epoch 3/5 | step 329 | batch 57/136 | loss -1.2878
Epoch 3/5 | step 330 | batch 58/136 | loss -1.2932
Epoch 3/5 | step 331 | batch 59/136 | loss -1.2939
Epoch 3/5 | step 332 | batch 60/136 | loss -1.2874
Epoch 3/5 | step 333 | batch 61/136 | loss -1.2846
Epoch 3/5 | step 334 | batch 62/136 | loss -1.2882
Epoch 3/5 | step 335 | batch 63/136 | loss -1.2915
Epoch 3/5 | step 336 | batch 64/136 | loss -1.2976
Epoch 3/5 | step 337 | batch 65/136 | loss -1.2951
Epoch 3/5 | step 338 | batch 66/136 | loss -1.2834
Epoch 3/5 | step 339 | batch 67/136 | loss -1.3084
Epoch 3/5 | step 340 | batch 68/136 | loss -1.2851
Epoch 3/5 | step 341 | batch 69/136 | loss -1.2680
Epoch 3/5 | step 342 | batch 70/136 | loss -1.2756
Epoch 3/5 | step 343 | batch 71/136 | loss -1.2761
Epoch 3/5 | step 344 | batch 72/136 | loss -1.2515
Epoch 3/5 | step 345 | batch 73/136 | loss -1.2847
Epoch 3/5 | step 346 | batch 74/136 | loss -1.2511
Epoch 3/5 | step 347 | batch 75/136 | loss -1.2826
