timestamp, index, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/05/18 21:08:20.092, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 10607 MiB, 81920 MiB, 85.83 W, 40
2026/05/18 21:08:21.092, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 10607 MiB, 81920 MiB, 85.83 W, 39
2026/05/18 21:08:22.092, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 10607 MiB, 81920 MiB, 85.51 W, 39
2026/05/18 21:08:23.092, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 10607 MiB, 81920 MiB, 85.51 W, 39
2026/05/18 21:08:24.093, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 10607 MiB, 81920 MiB, 85.51 W, 38
2026/05/18 21:08:25.093, 0, NVIDIA A100-SXM4-80GB, 0 %, 0 %, 10607 MiB, 81920 MiB, 85.24 W, 38
2026/05/18 21:08:26.093, 0, NVIDIA A100-SXM4-80GB, 11 %, 3 %, 10607 MiB, 81920 MiB, 214.95 W, 41
2026/05/18 21:08:27.093, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 343.04 W, 50
2026/05/18 21:08:28.094, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 316.14 W, 51
2026/05/18 21:08:29.094, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 294.75 W, 51
2026/05/18 21:08:30.096, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 319.24 W, 51
2026/05/18 21:08:31.097, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 315.55 W, 52
2026/05/18 21:08:32.099, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 313.43 W, 52
2026/05/18 21:08:33.100, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 330.09 W, 52
2026/05/18 21:08:34.100, 0, NVIDIA A100-SXM4-80GB, 99 %, 35 %, 10607 MiB, 81920 MiB, 335.78 W, 52
2026/05/18 21:08:35.101, 0, NVIDIA A100-SXM4-80GB, 99 %, 36 %, 10607 MiB, 81920 MiB, 322.22 W, 53
2026/05/18 21:08:36.101, 0, NVIDIA A100-SXM4-80GB, 99 %, 35 %, 10607 MiB, 81920 MiB, 334.91 W, 53
2026/05/18 21:08:37.101, 0, NVIDIA A100-SXM4-80GB, 99 %, 35 %, 10607 MiB, 81920 MiB, 337.62 W, 53
